€,Euro sign
ƒ,Latin small letter f with hook
†,Dagger
‡,Double dagger
‰,Per mille sign
Š,Latin capital letter S with caron
Œ,Latin capital ligature OE
Ž,Latin capital letter Z with caron
˜,Small tilde
™,Trade mark sign
š,Latin small letter S with caron
œ,Latin small ligature oe
ž,Latin small letter z with caron
Ÿ,Latin capital letter Y with diaeresis
¢,Cent sign
£,Pound sign
¤,Currency sign
¥,Yen sign
§,Section sign
©,Copyright sign
ª,Feminine ordinal indicator
«,Left double angle quotes
®,Registered trade mark sign
±,Plus-or-minus sign
²,Superscript two - squared
³,Superscript three - cubed
µ,Micro sign
¶,Pilcrow sign - paragraph sign
»,Right double angle quotes
¼,Fraction one quarter
½,Fraction one half
¾,Fraction three quarters
¿,Inverted question mark
À,Latin capital letter A with grave
Á,Latin capital letter A with acute
Â,Latin capital letter A with circumflex
Ã,Latin capital letter A with tilde
Ä,Latin capital letter A with diaeresis
Å,Latin capital letter A with ring above
Æ,Latin capital letter AE
Ç,Latin capital letter C with cedilla
È,Latin capital letter E with grave
É,Latin capital letter E with acute
Ê,Latin capital letter E with circumflex
Ë,Latin capital letter E with diaeresis
Ð,Latin capital letter ETH
Ñ,Latin capital letter N with tilde
Ô,Latin capital letter O with circumflex
Õ,Latin capital letter O with tilde
Ö,Latin capital letter O with diaeresis
×,Multiplication sign
Ø,Latin capital letter O with slash
Ù,Latin capital letter U with grave
Ú,Latin capital letter U with acute
Û,Latin capital letter U with circumflex
Ü,Latin capital letter U with diaeresis
Ý,Latin capital letter Y with acute
Þ,Latin capital letter THORN
ß,Latin small letter sharp s - ess-zed
à,Latin small letter a with grave
á,Latin small letter a with acute
â,Latin small letter a with circumflex
ã,Latin small letter a with tilde
ä,Latin small letter a with diaeresis
å,Latin small letter a with ring above
æ,Latin small letter ae
ç,Latin small letter c with cedilla
è,Latin small letter e with grave
é,Latin small letter e with acute
ê,Latin small letter e with circumflex
ë,Latin small letter e with diaeresis
ð,Latin small letter eth
ñ,Latin small letter n with tilde
ô,Latin small letter o with circumflex
õ,Latin small letter o with tilde
ö,Latin small letter o with diaeresis
û,Latin small letter u with circumflex
ü,Latin small letter u with diaeresis
ý,Latin small letter y with acute
þ,Latin small letter thorn
ÿ,Latin small letter y with diaeresis
